title,image_urls,price
"For sale  family house 152 m², land 610 m²","https://d18-a.sdn.cz/d_18/c_img_QL_J9/dHfBQY0.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KD/t8aBQSs.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MK/pUKBQSJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/VSjBQRS.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MK/JwEBQSK.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KD/q0jBQSt.jpeg?fl=res,400,300,3|shr,,20|jpg,90",20619000
"For sale  family house 269 m², land 213 m²","https://d18-a.sdn.cz/d_18/c_img_gT_3/lx1Kdn.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gW_z/n7hKlH.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/36KTJK.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Jw/ujYFl6.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gZ_0/YzuKef.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QO_LA/e9qTC7.jpeg?fl=res,400,300,3|shr,,20|jpg,90",37166000
"For sale  family house 388 m², land 249 m²","https://d18-a.sdn.cz/d_18/c_img_QP_LN/74QYx7.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_LN/SOCYx8.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MN/HU9lGf.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_LN/DwxYx9.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gY_z/D8GUEx.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KG/Bu3lHN.jpeg?fl=res,400,300,3|shr,,20|jpg,90",38726000
"For sale  family house 305 m², land 749 m²","https://d18-a.sdn.cz/d_18/c_img_gZ_z/xUZBBx.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gQ_z/qh3BBq.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_KA/U52r3p.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QI_Jo/wPqrn2.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gU_y/ZkWBBv.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gZ_z/yDxBBz.jpeg?fl=res,400,300,3|shr,,20|jpg,90",15671000
"For sale  family house 190 m², land 380 m²","https://d18-a.sdn.cz/d_18/c_img_QI_Jm/UmFKKG.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QQ_LX/b9ABIpN.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Jc/3vASqL.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_Jy/dq6BNkt.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QO_Ks/yIhBH00.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_Kx/I0gBCRq.jpeg?fl=res,400,300,3|shr,,20|jpg,90",20681000
"For sale  villas 340 m², land 383 m²","https://d18-a.sdn.cz/d_18/c_img_QI_Jf/4Mlb6L.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_J2/M7jb0H.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_J2/PeEb0I.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_J3/nB0b2n.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Jk/dq9b1A.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_J2/VxUb0J.jpeg?fl=res,400,300,3|shr,,20|jpg,90",27622000
"For sale  family house 347 m², land 802 m²","https://d18-a.sdn.cz/d_18/c_img_QK_Js/P0NCBKA.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KD/tkOCA7g.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_J9/eWJCA94.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Js/tIXCBKB.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QI_Jn/PuRCA4v.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MK/EaNCA7w.jpeg?fl=res,400,300,3|shr,,20|jpg,90",27747000
"For sale  multi-gen house 485 m², land 315 m²","https://d18-a.sdn.cz/d_18/c_img_gU_z/3TsClV.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gV_2/0NeCmy.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Jv/ap9Fjt.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MN/F8oFnt.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gS_0/19fCmO.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gS_0/fvDCmP.jpeg?fl=res,400,300,3|shr,,20|jpg,90",30523000
"For sale  family house 1 000 m², land 1 046 m²","https://d18-a.sdn.cz/d_18/c_img_gS_0/NwhT1H.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gW_z/IkfT56.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/I2pI8u.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gW_z/SSlT57.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gY_z/c4ST42.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gT_4/1SSF3M.jpeg?fl=res,400,300,3|shr,,20|jpg,90",55515000
"For sale  family house 288 m², land 432 m²","https://d18-a.sdn.cz/d_18/c_img_QN_KD/L9iCJY.mpo?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QI_Jf/SXcTVs.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QQ_Ld/3J8TUQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_K2/lzxTWa.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_K2/3lWTWb.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MB/SZnTXk.jpeg?fl=res,400,300,3|shr,,20|jpg,90",32175000
